"Date","Match","Result","Score","Competition"
"06 Jun 2001","Iceland v Bulgaria","D","1-1","FIFA World Cup"
"04 Sep 2004","Iceland v Bulgaria","W","1-3","FIFA World Cup"
"07 Sep 2005","Bulgaria v Iceland","W","3-2","FIFA World Cup"
"26 Apr 1978","Iran v Bulgaria","D","1-1","International Friendly"
"08 Feb 1982","Iraq v Bulgaria","L","2-1","International Friendly"
"11 Feb 1982","Iraq v Bulgaria","D","2-2","International Friendly"
"25 Jul 1995","Iraq v Bulgaria","L","1-0","Merdeka Tournament"
"13 Jun 1965","Bulgaria v Israel","W","4-0","FIFA World Cup"
"21 Nov 1965","Israel v Bulgaria","W","1-2","FIFA World Cup"
"02 Dec 1992","Israel v Bulgaria","W","0-2","FIFA World Cup"
"12 May 1993","Bulgaria v Israel","D","2-2","FIFA World Cup"
"01 Sep 1996","Israel v Bulgaria","L","2-1","FIFA World Cup"
"20 Aug 1997","Bulgaria v Israel","W","1-0","FIFA World Cup"
"14 Jun 1966","Italy v Bulgaria","L","6-1","International Friendly"
"06 Apr 1968","Bulgaria v Italy","W","3-2","UEFA European Championship"
"20 Apr 1968","Italy v Bulgaria","L","2-0","UEFA European Championship"
"24 May 1969","Italy v Bulgaria","D","0-0","International Friendly"
"21 Jun 1972","Bulgaria v Italy","D","1-1","International Friendly"
"29 Dec 1974","Italy v Bulgaria","D","0-0","International Friendly"
"20 Sep 1978","Italy v Bulgaria","L","1-0","International Friendly"
"23 Sep 1981","Italy v Bulgaria","L","3-2","International Friendly"
"31 May 1986","Italy v Bulgaria","D","1-1","FIFA World Cup"
"20 Sep 1989","Italy v Bulgaria","L","4-0","International Friendly"
"25 Sep 1991","Bulgaria v Italy","W","2-1","International Friendly"
"13 Jul 1994","Italy v Bulgaria","L","2-1","FIFA World Cup"
"22 Jun 2004","Italy v Bulgaria","L","2-1","UEFA European Championship"
"11 Oct 2008","Bulgaria v Italy","D","0-0","FIFA World Cup"
"09 Sep 2009","Italy v Bulgaria","L","2-0","FIFA World Cup"
"07 Sep 2012","Bulgaria v Italy","D","2-2","FIFA World Cup"
"06 Sep 2013","Italy v Bulgaria","L","1-0","FIFA World Cup"
"28 Mar 2015","Bulgaria v Italy","D","2-2","UEFA European Championship"
"06 Sep 2015","Italy v Bulgaria","L","1-0","UEFA European Championship"
"28 Jan 2001","Jamaica v Bulgaria","D","0-0","International Friendly"
"25 Jan 1976","Japan v Bulgaria","W","1-3","International Friendly"
