Date,Match,Result,Score,Competition
1917-05-06,Austria v Hungary,D,1-1,International Friendly
1917-06-03,Hungary v Austria,L,6-2,International Friendly
1917-07-15,Austria v Hungary,L,1-4,International Friendly
1917-10-07,Hungary v Austria,L,2-1,International Friendly
1917-11-04,Austria v Hungary,L,1-2,International Friendly
1918-04-14,Hungary v Austria,L,2-0,International Friendly
1918-06-02,Austria v Hungary,L,0-2,International Friendly
1918-10-06,Austria v Hungary,L,0-3,International Friendly
1919-04-06,Hungary v Austria,L,2-1,International Friendly
1919-10-05,Austria v Hungary,W,2-0,International Friendly
1919-11-09,Hungary v Austria,L,3-2,International Friendly
1920-05-02,Austria v Hungary,D,2-2,International Friendly
1920-11-07,Hungary v Austria,W,1-2,International Friendly
1921-04-24,Austria v Hungary,W,4-1,International Friendly
1922-04-30,Hungary v Austria,D,1-1,International Friendly
1922-09-24,Austria v Hungary,D,2-2,International Friendly
1922-11-26,Hungary v Austria,W,1-2,International Friendly
1923-05-06,Austria v Hungary,W,1-0,International Friendly
1923-09-23,Hungary v Austria,L,2-0,International Friendly
1924-05-04,Hungary v Austria,D,2-2,International Friendly
1924-09-14,Austria v Hungary,W,2-1,International Friendly
1925-05-05,Austria v Hungary,W,3-1,International Friendly
1925-09-20,Hungary v Austria,D,1-1,International Friendly
1926-05-02,Hungary v Austria,W,0-3,International Friendly
1926-09-19,Austria v Hungary,L,2-3,International Friendly
1927-04-10,Austria v Hungary,W,6-0,International Friendly
1927-09-25,Hungary v Austria,L,5-3,Dr Gero Cup
1928-05-06,Hungary v Austria,D,5-5,International Friendly
1928-10-07,Austria v Hungary,W,5-1,Dr Gero Cup
1929-05-05,Austria v Hungary,D,2-2,International Friendly
1929-10-06,Hungary v Austria,L,2-1,International Friendly
1930-06-01,Hungary v Austria,L,2-1,International Friendly
1930-09-21,Austria v Hungary,L,2-3,International Friendly
1931-05-03,Austria v Hungary,D,0-0,Dr Gero Cup
1931-10-04,Hungary v Austria,D,2-2,Dr Gero Cup
1932-04-24,Austria v Hungary,W,8-2,International Friendly
1932-10-02,Hungary v Austria,W,2-3,International Friendly
1933-04-30,Hungary v Austria,D,1-1,International Friendly
1933-10-01,Austria v Hungary,D,2-2,International Friendly
1934-04-15,Austria v Hungary,W,5-2,International Friendly
1934-05-31,Austria v Hungary,W,2-1,FIFA World Cup
1934-10-07,Hungary v Austria,L,3-1,Dr Gero Cup
1935-05-12,Hungary v Austria,L,6-3,International Friendly
1935-10-06,Austria v Hungary,D,4-4,Dr Gero Cup
1936-04-05,Austria v Hungary,L,3-5,International Friendly
1936-09-27,Hungary v Austria,L,5-3,Dr Gero Cup
1937-05-23,Hungary v Austria,D,2-2,International Friendly
1945-08-19,Hungary v Austria,L,2-0,International Friendly
1945-08-20,Hungary v Austria,L,5-2,International Friendly
1946-04-14,Austria v Hungary,W,3-2,International Friendly
1946-10-06,Hungary v Austria,L,2-0,International Friendly
1947-05-04,Hungary v Austria,L,5-2,International Friendly
1947-09-14,Austria v Hungary,W,4-3,International Friendly
1948-05-02,Austria v Hungary,W,3-2,Dr Gero Cup
1948-10-03,Hungary v Austria,L,2-1,International Friendly
1949-05-02,Hungary v Austria,L,6-1,Dr Gero Cup
1949-10-16,Austria v Hungary,L,3-4,International Friendly
1950-05-14,Austria v Hungary,W,5-3,International Friendly
1950-10-29,Hungary v Austria,L,4-3,International Friendly
1953-04-26,Hungary v Austria,D,1-1,International Friendly
1953-10-11,Austria v Hungary,L,2-3,International Friendly
1954-04-11,Austria v Hungary,L,0-1,International Friendly
1954-11-14,Hungary v Austria,L,4-1,International Friendly
1955-04-24,Austria v Hungary,D,2-2,Dr Gero Cup
1955-10-16,Hungary v Austria,L,6-1,Dr Gero Cup
1956-10-14,Austria v Hungary,L,0-2,International Friendly
1960-11-20,Hungary v Austria,L,2-0,International Friendly
1961-10-08,Austria v Hungary,W,2-1,International Friendly
1962-06-24,Austria v Hungary,L,1-2,International Friendly
1962-10-28,Hungary v Austria,L,2-0,International Friendly
1963-10-27,Hungary v Austria,L,2-1,International Friendly
1964-05-03,Austria v Hungary,W,1-0,International Friendly
1965-06-13,Austria v Hungary,L,0-1,FIFA World Cup
1965-09-05,Hungary v Austria,L,3-0,FIFA World Cup
1966-10-30,Hungary v Austria,L,3-1,International Friendly
1967-09-06,Austria v Hungary,L,1-3,International Friendly
1970-09-27,Hungary v Austria,D,1-1,International Friendly
1971-04-04,Austria v Hungary,L,0-2,International Friendly
1972-10-15,Austria v Hungary,D,2-2,FIFA World Cup
1973-04-29,Hungary v Austria,D,2-2,FIFA World Cup
1974-09-28,Austria v Hungary,W,1-0,International Friendly
1975-04-02,Austria v Hungary,D,0-0,UEFA European Championship
1975-09-24,Hungary v Austria,L,2-1,UEFA European Championship
1976-06-12,Hungary v Austria,L,2-0,International Friendly
1976-10-13,Austria v Hungary,L,2-4,International Friendly
1979-09-26,Austria v Hungary,W,3-1,International Friendly
1980-06-04,Hungary v Austria,D,1-1,International Friendly
1980-10-08,Austria v Hungary,W,3-1,International Friendly
1984-09-26,Hungary v Austria,L,3-1,FIFA World Cup
1985-04-17,Austria v Hungary,L,0-3,FIFA World Cup
1988-05-17,Hungary v Austria,W,0-4,International Friendly
1988-08-31,Austria v Hungary,D,0-0,International Friendly
1992-03-25,Hungary v Austria,L,2-1,International Friendly
1994-03-23,Austria v Hungary,D,1-1,International Friendly
1998-03-25,Austria v Hungary,L,2-3,International Friendly
2006-08-16,Austria v Hungary,L,1-2,International Friendly
1989-06-14,Iceland v Austria,D,0-0,FIFA World Cup
1989-08-23,Austria v Iceland,W,2-1,FIFA World Cup
2014-05-30,Austria v Iceland,D,1-1,International Friendly
2016-06-22,Iceland v Austria,L,2-1,UEFA European Championship
2000-09-01,Austria v Iran,W,5-1,International Friendly
1969-04-23,Israel v Austria,D,1-1,International Friendly
1976-12-15,Israel v Austria,W,1-3,International Friendly
1979-01-30,Israel v Austria,W,0-1,International Friendly
1981-02-04,Israel v Austria,L,1-0,International Friendly
1992-10-28,Austria v Israel,W,5-2,FIFA World Cup
1993-10-27,Israel v Austria,D,1-1,FIFA World Cup
1998-09-05,Austria v Israel,D,1-1,UEFA European Championship
2001-10-27,Israel v Austria,D,1-1,FIFA World Cup
1912-12-22,Italy v Austria,W,1-3,International Friendly
1914-01-11,Italy v Austria,D,0-0,International Friendly
1922-01-15,Italy v Austria,D,3-3,International Friendly
1923-04-15,Austria v Italy,D,0-0,International Friendly
1924-01-20,Italy v Austria,W,0-4,International Friendly
1927-11-06,Italy v Austria,W,0-1,Dr Gero Cup
1928-11-11,Italy v Austria,D,2-2,International Friendly
1929-04-07,Austria v Italy,W,3-0,Dr Gero Cup
1931-02-22,Italy v Austria,L,2-1,Dr Gero Cup
1932-03-20,Austria v Italy,W,2-1,Dr Gero Cup
1934-02-11,Italy v Austria,W,2-4,Dr Gero Cup
1934-06-03,Italy v Austria,L,1-0,FIFA World Cup
1935-03-24,Austria v Italy,L,0-2,Dr Gero Cup
1936-05-17,Italy v Austria,D,2-2,International Friendly
1937-03-21,Austria v Italy,W,2-0,Abandoned
1946-12-01,Italy v Austria,L,3-2,International Friendly
1947-11-09,Austria v Italy,W,5-1,International Friendly
1949-05-22,Italy v Austria,L,3-1,Dr Gero Cup
1950-04-02,Austria v Italy,W,1-0,Dr Gero Cup
1956-12-09,Italy v Austria,L,2-1,Dr Gero Cup
1958-03-23,Austria v Italy,W,3-2,Dr Gero Cup
1960-12-10,Italy v Austria,W,1-2,International Friendly
1962-11-11,Austria v Italy,L,1-2,International Friendly
1963-06-09,Austria v Italy,L,0-1,International Friendly
1963-12-14,Italy v Austria,L,1-0,International Friendly
1966-06-18,Italy v Austria,L,1-0,International Friendly
1970-10-31,Austria v Italy,L,1-2,UEFA European Championship
1971-11-20,Italy v Austria,D,2-2,UEFA European Championship
1974-06-08,Austria v Italy,D,0-0,International Friendly
1978-06-18,Austria v Italy,L,0-1,FIFA World Cup
1989-03-25,Austria v Italy,L,0-1,International Friendly
1990-06-09,Italy v Austria,L,1-0,FIFA World Cup
1998-06-23,Italy v Austria,L,2-1,FIFA World Cup
2007-09-07,Austria v Japan,W,0-0,Four Nation Tournament
1992-04-14,Austria v Lithuania,W,4-0,International Friendly
1988-02-02,Morocco v Austria,L,3-1,Four Nations Tournament
1933-12-10,Netherlands v Austria,W,0-1,International Friendly
1957-05-26,Austria v Netherlands,W,3-2,FIFA World Cup
1957-09-25,Netherlands v Austria,D,1-1,FIFA World Cup
1964-04-12,Netherlands v Austria,D,1-1,International Friendly
1966-09-18,Austria v Netherlands,W,2-1,International Friendly
1973-03-28,Austria v Netherlands,W,1-0,International Friendly
1974-03-27,Netherlands v Austria,D,1-1,International Friendly
1978-05-20,Austria v Netherlands,L,0-1,International Friendly
1978-06-14,Austria v Netherlands,L,1-5,FIFA World Cup
1984-11-14,Austria v Netherlands,W,1-0,FIFA World Cup
1990-05-30,Austria v Netherlands,W,3-2,International Friendly
1992-05-27,Netherlands v Austria,L,3-2,International Friendly
1982-07-01,Austria v Northern Ireland,D,2-2,FIFA World Cup
1982-10-13,Austria v Northern Ireland,W,2-0,UEFA European Championship
1983-09-21,Northern Ireland v Austria,L,3-1,UEFA European Championship
1990-11-14,Austria v Northern Ireland,D,0-0,UEFA European Championship
1991-10-16,Northern Ireland v Austria,L,2-1,UEFA European Championship
1994-10-12,Austria v Northern Ireland,L,1-2,UEFA European Championship
2004-10-13,Northern Ireland v Austria,D,3-3,FIFA World Cup
1936-01-26,Portugal v Austria,W,2-3,International Friendly
1952-11-23,Portugal v Austria,D,1-1,International Friendly
1953-09-27,Austria v Portugal,W,9-1,FIFA World Cup
1953-11-29,Portugal v Austria,D,0-0,FIFA World Cup
1978-11-15,Austria v Portugal,L,1-2,UEFA European Championship
1979-11-21,Portugal v Austria,W,1-2,UEFA European Championship
1991-09-04,Portugal v Austria,D,1-1,International Friendly
1992-09-02,Austria v Portugal,D,1-1,International Friendly
1994-11-13,Portugal v Austria,L,1-0,UEFA European Championship
1952-05-07,Austria v Republic of Ireland,W,6-0,International Friendly
1953-03-25,Republic of Ireland v Austria,L,4-0,International Friendly
1958-05-14,Austria v Republic of Ireland,W,3-1,International Friendly
1962-04-08,Republic of Ireland v Austria,W,2-3,International Friendly
1963-09-25,Austria v Republic of Ireland,D,0-0,UEFA European Championship
1963-10-13,Republic of Ireland v Austria,L,3-2,UEFA European Championship
1966-05-22,Austria v Republic of Ireland,W,1-0,International Friendly
1968-11-10,Republic of Ireland v Austria,D,2-2,International Friendly
1971-05-30,Republic of Ireland v Austria,W,1-4,UEFA European Championship
1971-10-10,Austria v Republic of Ireland,W,6-0,UEFA European Championship
1995-06-11,Republic of Ireland v Austria,W,1-3,UEFA European Championship
1995-09-06,Austria v Republic of Ireland,W,3-1,UEFA European Championship
1924-05-20,Austria v Romania,W,4-1,International Friendly
1932-05-08,Romania v Austria,L,4-1,Central European Cup
1932-10-16,Austria v Romania,L,0-1,Central European Cup
1968-05-01,Austria v Romania,D,1-1,International Friendly
1972-09-03,Romania v Austria,D,1-1,International Friendly
1986-09-10,Romania v Austria,L,4-0,UEFA European Championship
1987-11-18,Austria v Romania,D,0-0,UEFA European Championship
2012-06-05,Austria v Romania,D,0-0,International Friendly
1931-05-16,Austria v Scotland,W,5-0,International Friendly
1933-11-29,Scotland v Austria,D,2-2,International Friendly
1937-05-09,Austria v Scotland,D,1-1,International Friendly
1950-12-13,Scotland v Austria,W,0-1,International Friendly
1951-05-27,Austria v Scotland,W,4-0,International Friendly
1954-06-16,Austria v Scotland,W,1-0,FIFA World Cup
1955-05-19,Austria v Scotland,L,1-4,International Friendly
1956-05-02,Scotland v Austria,D,1-1,International Friendly
1963-05-08,Scotland v Austria,L,4-1,International Friendly
1968-11-06,Scotland v Austria,L,2-1,FIFA World Cup
1969-11-05,Austria v Scotland,W,2-0,FIFA World Cup
1978-09-20,Austria v Scotland,W,3-2,UEFA European Championship
1979-10-17,Scotland v Austria,D,1-1,UEFA European Championship
2003-04-30,Scotland v Austria,W,0-2,International Friendly
2007-05-30,Austria v Scotland,L,0-1,International Friendly
2004-03-31,Slovakia v Austria,D,1-1,International Friendly
1924-12-21,Spain v Austria,L,2-1,International Friendly
1925-09-27,Austria v Spain,L,0-1,International Friendly
1936-01-19,Spain v Austria,W,4-5,International Friendly
1959-11-22,Spain v Austria,L,6-3,International Friendly
1960-10-30,Austria v Spain,W,3-0,International Friendly
1978-06-03,Austria v Spain,W,2-1,FIFA World Cup
1981-09-23,Austria v Spain,D,0-0,International Friendly
1987-04-01,Austria v Spain,L,2-3,UEFA European Championship
1987-10-14,Spain v Austria,L,2-0,UEFA European Championship
1999-03-27,Spain v Austria,L,9-0,UEFA European Championship
2000-10-11,Austria v Spain,D,1-1,FIFA World Cup
1921-03-25,Austria v Sweden,D,2-2,International Friendly
1921-07-24,Sweden v Austria,W,1-3,International Friendly
